Sl. No.	Name of Tiger Reserve	State	Total area(In Sq.Kms.)
1	Nagarjunsagar Srisailam 	Andhra Pradesh	3296.31
2	Namdapha	Arunachal Pradesh	2052.82
3	Kamlang Tiger Reserve	Arunachal Pradesh	783
4	Pakke	Arunachal Pradesh	1198.45
5	Manas	Assam	3150.92
6	Nameri	Assam	344
7	Orang Tiger Reserve	Assam	492.46
8	Kaziranga	Assam	1173.58
9	Valmiki	Bihar	899.38
10	Udanti-Sitanadi	Chattisgarh	1842.54
11	Achanakmar	Chattisgarh	914.01
12	Indravati	Chhattisgarh	2799.07
13	Palamau	Jharkhand	1129.93
14	Bandipur	Karnataka	1456.3
15	Bhadra	Karnataka	1064.29
16	Dandeli-Anshi	Karnataka	1097.51
17	Nagarahole	Karnataka	1205.76
18	Biligiri Ranganatha Temple	Karnataka	574.82
19	Periyar	Kerala	925
20	Parambikulam	Kerala	643.66
21	Kanha	Madhya Pradesh	2051.79
22	Pench	Madhya Pradesh	1179.63
23	Bandhavgarh	Madhya Pradesh	1598.1
24	Panna	Madhya Pradesh	1578.55
25	Satpura	Madhya Pradesh	2133.30
26	Sanjay-Dubri	Madhya Pradesh	1674.50
27	Melghat	Maharashtra	2768.52
28	Tadoba-Andhari	Maharashtra	1727.59
29	Pench	Maharashtra	741.22
30	Sahyadri	Maharashtra	1165.57
31	Nawegaon-Nagzira	Maharashtra	653.67
32	Bor	Maharashtra	138.12
33	Dampa	Mizoram	988
34	Similipal	Odisha	2750
35	Satkosia	Odisha	963.87
36	Ranthambore	Rajasthan	1411.29
37	Sariska	Rajasthan	1213.34
38	Mukandra Hills	Rajasthan	759.99
39	Kalakad-Mundanthurai	Tamil Nadu	1601.54
40	Anamalai	Tamil Nadu	1479.87
41	Mudumalai	Tamil Nadu	688.59
42	Sathyamangalam	Tamil Nadu	1408.4
43	Kawal	Telangana	2019.12
44	Amrabad	Telangana	2611.39
45	Dudhwa	Uttar Pradesh	2201.77
46	Pilibhit	Uttar Pradesh	730.24
47	Amangarh (buffer of Corbett TR)	Uttar Pradesh	80.6
Corbett	Uttarakhand	1288.31
48	Rajaji TR	Uttarakhand	1075.17
49	Sunderbans	West Bengal	2584.89
50	Buxa	West Bengal	757.90
51	Srivilliputhur Megamalai	Tamil Nadu	1016.57
52.	Ramgarh Vishdhari Wildlife Sanctuary	Rajasthan	252
53.	Guru Ghasidas National Park and Tamor Pingla Wildlife Sanctuary	Chhattisgarh	466.67
